bookID,title,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher,image_url
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,097669400X,9.78E+12,eng,558,1430,59,7/28/2005,Pragmatic Bookshelf,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1156838584l/45._SX318_.jpg
50,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,689840926,9.78E+12,eng,208,270244,12017,4/1/2000,Atheneum Books for Young Readers: Richard Jackson Books,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385297074l/50.jpg
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4,1557344493,9.78E+12,eng,48,36,2,8/28/1994,Teacher Created Resources,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348204008l/51.jpg
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,385326505,9.78E+12,eng,144,2067,334,1/23/2001,Delacorte Press,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391130426l/53.jpg
54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,1575606240,9.78E+12,eng,56,6,0,6/10/2003,Cherry Lane Music Company,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386749126l/54.jpg
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,1595580271,9.78E+12,en-US,228,99,16,11/1/2005,The New Press,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328752960l/55.jpg
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,1595962808,9.78E+12,eng,304,167,4,11/1/2005,Changeling Press,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1413280818l/57.jpg
58,Changeling (Changeling  #1),Delia Sherman,3.6,670059676,9.78E+12,eng,256,978,111,8/17/2006,Viking Juvenile,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309282978l/58.jpg
59,The Changeling Sea,Patricia A. McKillip,4.06,141312629,9.78E+12,eng,137,4454,302,4/14/2003,Firebird,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1530054954l/59._SY475_.jpg
61,The Changeling,Zilpha Keatley Snyder,4.17,595321801,9.78E+12,eng,228,1176,96,6/8/2004,iUniverse,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386923583l/61.jpg
63,The Changeling,Kate Horsley,3.55,1590301943,9.78E+12,eng,339,301,43,4/12/2005,Shambhala,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1392095683l/63.jpg
66,The Changeling (Daughters of England  #15),Philippa Carr,3.98,449146979,9.78E+12,eng,369,345,12,8/28/1990,Ivy Books,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1257951637l/66.jpg
67,The Known World,Edward P. Jones,3.83,61159174,9.78E+12,eng,388,29686,2626,8/29/2006,Amistad,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1538134660l/67._SY475_.jpg
68,The Known World,Edward P. Jones/Kevin R. Free,3.83,006076273X,9.78E+12,en-US,14,55,12,6/15/2004,HarperAudio,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388727732l/68.jpg
69,The Known World,Edward P. Jones,3.83,60749911,9.78E+12,eng,576,22,3,6/15/2004,Harper,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389570537l/69.jpg
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,273704745,9.78E+12,eng,334,1456,82,5/15/2006,FT Press,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386920548l/71.jpg
72,Artesia: Adventures in the Known World,Mark Smylie,4.13,1932386106,9.78E+12,eng,352,52,4,12/14/2005,Archaia,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1392576161l/72.jpg
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,374517193,9.78E+12,eng,416,562,37,6/1/1982,Farrar  Straus and Giroux,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388644044l/74.jpg
75,Uncommon Carriers,John McPhee,3.95,374280398,9.78E+12,en-US,248,1630,203,5/16/2006,Farrar Straus Giroux,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437080440l/75._SY475_.jpg
76,Heirs of General Practice,John McPhee,4.17,374519749,9.78E+12,eng,128,268,22,4/1/1986,Farrar  Straus and Giroux,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1379150827l/76.jpg
77,The Control of Nature,John McPhee,4.24,374522596,9.78E+12,en-US,288,3498,305,9/1/1990,Farrar  Straus and Giroux,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441076311l/77._SY475_.jpg
78,Annals of the Former World,John McPhee,4.34,374518734,9.78E+12,eng,720,3115,228,1/6/1999,Farrar  Straus and Giroux,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924382l/78.jpg
79,Coming Into the Country,John McPhee,4.22,374522871,9.78E+12,eng,448,5704,261,4/1/1991,Farrar  Straus and Giroux,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441496505l/79._SX318_.jpg
80,La Place de la Concorde Suisse,John McPhee,3.92,374519323,9.78E+12,fre,160,698,52,4/1/1994,Farrar  Straus and Giroux,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388206710l/80.jpg
81,Giving Good Weight,John McPhee,4.23,374516006,9.78E+12,eng,288,542,36,4/1/1994,Farrar  Straus and Giroux,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924321l/81.jpg
83,Rising from the Plains,John McPhee,4.23,374520658,9.78E+12,eng,208,1341,98,11/1/1987,Farrar  Straus and Giroux,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1350425564l/83.jpg
85,The Heidi Chronicles,Wendy Wasserstein,3.75,822205106,9.78E+12,eng,81,1423,70,3/1/2002,Dramatists Play Service,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924410l/85.jpg
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,679734996,9.78E+12,eng,249,2766,64,7/2/1991,Vintage,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329241203l/86.jpg
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,1596670231,9.78E+12,eng,138,31,1,3/29/2006,Routledge,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388456071l/89.jpg
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,1581807740,9.78E+12,en-US,128,62,4,3/14/2006,North Light Books,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441508877l/90._SX318_.jpg
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,800793617,9.78E+12,eng,192,860,53,9/1/2003,Chosen Books,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437958071l/91._SY475_.jpg
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,871202867,9.78E+12,en-US,108,77,2,1/28/1997,Association for Supervision & Curriculum Development,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347797888l/92.jpg
93,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,753454947,9.78E+12,eng,352,153317,2257,11/15/2002,Kingfisher,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388462714l/93.jpg
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,871209993,9.78E+12,eng,192,55,5,11/15/2004,ASCD,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388469058l/94.jpg
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,1852402873,9.78E+12,eng,192,34,6,4/28/2003,Sovereign World,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1377352947l/96.jpg
98,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,761129588,9.78E+12,eng,832,11797,659,10/16/2003,Workman Publishing Company,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1156876973l/98._SX318_.jpg
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,972016414,9.78E+12,eng,123,34,8,5/10/2004,One Hour Entertainment,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387715816l/99.jpg
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,1581805632,9.78E+12,en-US,128,78,4,8/19/2004,North Light Books,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1435735524l/100._SX318_.jpg
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,441294677,9.78E+12,eng,423,2785,166,6/15/1987,Ace Books,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391051286l/103.jpg
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,441102670,9.78E+12,eng,436,38778,568,7/1/1987,Ace Books,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559833930l/105._SY475_.jpg
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,441172695,9.78E+12,eng,331,97494,2359,7/15/1987,Ace Books,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1533872326l/106.jpg
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,765306476,9.78E+12,en-US,592,784,21,7/1/2004,Tor Books,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391300731l/107.jpg
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,399128980,9.78E+12,eng,480,272,20,4/16/1984,Putnam,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1395805793l/109.jpg
110,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,765353709,9.78E+12,eng,426,4789,83,8/29/2006,Tor Science Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388428492l/110.jpg
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,441328008,9.78E+12,eng,471,45388,644,8/15/1987,Ace Books,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388186151l/117.jpg
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,618212906,9.78E+12,eng,192,26153,102,6/12/2002,Houghton Mifflin Harcourt,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347803870l/119.jpg
122,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,034541005X,9.78E+12,eng,544,69167,4551,9/29/1996,Ballantine Books,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388184360l/122.jpg
123,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,385732546,9.78E+12,eng,291,45,13,9/13/2005,Delacorte Books for Young Readers,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390542647l/123.jpg
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,785260056,9.78E+12,en-US,256,16,1,11/1/2004,Thomas Nelson,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1417437603l/129.jpg
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,471780936,9.78E+12,eng,205,174,16,5/19/2006,Wiley,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389419474l/130.jpg
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,325001537,9.78E+12,eng,240,10,0,2/7/2000,Heinemann Drama,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389831533l/131.jpg
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,006076287X,9.78E+12,eng,336,76,9,5/3/2005,William Morrow Paperbacks,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394598840l/132.jpg
133,eBay for Dummies,Marsha Collier,3.5,470045299,9.78E+12,eng,386,111,9,10/30/2006,Wiley,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441344619l/133._SX318_.jpg
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,72262788,9.78E+12,eng,260,24,0,1/24/2006,McGraw-Hill,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388215262l/135.jpg
137,Starting an eBay Business for Dummies,Marsha Collier,3.55,764569244,9.78E+12,eng,384,55,4,9/17/2004,Wiley,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386923390l/137.jpg
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,471933821,9.78E+12,eng,260,9,0,6/6/2006,Wiley,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386925080l/138.jpg
139,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,764559915,9.78E+12,en-US,391,22,1,5/31/2004,Wiley,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349096445l/139.jpg
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,764584383,9.78E+12,en-US,864,17,3,4/25/2005,Wiley,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386925154l/140.jpg
141,Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,596523696,9.78E+12,eng,873,166,4,7/29/2006,O'Reilly Media,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924642l/141.jpg
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,806523492,9.78E+12,eng,240,50,5,5/3/2005,Citadel,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388280981l/142.jpg
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,806525363,9.78E+12,eng,206,13,2,5/3/2005,Citadel,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388250980l/144.jpg
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,596527314,9.78E+12,eng,514,64,1,1/1/2007,O'Reilly Media,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388178617l/147.jpg
151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,143035002,9.78E+12,eng,838,16643,1851,5/31/2004,Penguin Classics,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1657540103l/151._SX318_.jpg
152,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,451528611,9.78E+12,eng,960,109420,5696,11/5/2002,Signet,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1350285139l/152.jpg
153,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,140449175,9.78E+12,eng,837,2904,309,1/30/2003,Penguin Books,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1426930853l/153.jpg
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,822001837,9.78E+12,eng,80,16,3,11/26/1965,Cliffs Notes,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388199056l/154.jpg
155,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,1593080271,9.78E+12,eng,803,9564,726,7/1/2003,Barnes & Noble Classics,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1288758122l/155.jpg
156,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,486437965,9.78E+12,eng,752,474,72,11/23/2004,Dover Publications,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924068l/156.jpg
157,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,1593081774,9.78E+12,eng,803,303,48,8/26/2004,Barnes & Noble,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388437498l/157.jpg
159,Dinner with Anna Karenina,Gloria Goldreich,2.99,778322270,9.78E+12,eng,360,411,65,1/28/2006,Mira Books,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386923939l/159.jpg
160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,521313252,9.78E+12,eng,128,1204,33,11/26/1987,Cambridge University Press,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347930789l/160.jpg
162,Untouchable,Mulk Raj Anand/E.M. Forster,3.71,140183957,9.78E+12,eng,160,3429,279,7/3/1990,Penguin Books,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1644689804l/162._SY475_.jpg
163,The Untouchable,John Banville,3.95,679767479,9.78E+12,eng,367,2163,216,6/30/1998,Vintage,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344111321l/163.jpg
164,The Untouchables,Eliot Ness/Oscar Fraley,3.89,1568491980,9.78E+12,eng,256,613,31,2/1/1996,Buccaneer Books,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347651004l/164.jpg
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,743270797,9.78E+12,en-US,320,308,40,9/27/2005,Scribner,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347418840l/165.jpg
166,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,4.2,932863051,9.78E+12,eng,100,10,0,1/28/1995,Clarity Press,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1381745494l/166.jpg
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,742508803,9.78E+12,eng,224,16,4,12/20/2000,Rowman & Littlefield Publishers,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1156884195l/168.jpg
171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,205358624,9.78E+12,eng,216,10,0,9/22/2003,Pearson,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348896381l/171.jpg
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,4,1557344035,9.78E+12,eng,48,17,0,9/28/1991,Teacher Created Resources,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1376428025l/177.jpg
180,Wrinkles in Time,George Smoot/Keay Davidson,4.01,380720442,9.78E+12,eng,360,1035,23,10/1/1994,Harper Perennial,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387740520l/180.jpg
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4,821925326,9.78E+12,eng,250,36,6,5/1/2002,EMC/Paradigm Publishing,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1340994854l/181.jpg
182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.6,043927169X,9.78E+12,eng,32,15,0,1/1/2002,Teaching Resources,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328869405l/182.jpg
201,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4,606105263,9.78E+12,spa,205,6,1,6/1/1984,Turtleback Books,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1471521511l/201.jpg
204,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,751506435,9.78E+12,eng,367,376,17,6/1/1994,Little  Brown Book Group,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388369687l/204.jpg
205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,006078671X,9.78E+12,eng,352,3086,237,1/3/2006,William Morrow,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1430623654l/205.jpg
207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,743499344,9.78E+12,en-US,320,352,44,11/1/2005,Atria Books,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1417601985l/207.jpg
